reference,sample,avg_depth,breadth_cov,prop_aln,prop_properPair,genome_size,n_sites,n_SNPs
Aipysurus laevis,Laticauda laticaudata,79.6891,74.3978,83.72222251948376,64.06789218132043,1852689089,582813887,13436026
Aipysurus laevis,Hydrophis melanocephalus,86.18,83.0232,98.14733895439079,77.70885842234085,1852689089,1068071320,17826137
Aipysurus laevis,Notechis scutatus,46.8449,79.2008,96.71187685511633,64.14346245592503,1852689089,456570742,6327510
Aipysurus laevis,Pseudonaja textilis,46.682,76.9894,94.69595227214913,63.55339594242063,1852689089,347921420,5010269
Aipysurus laevis,Naja naja,43.1188,70.0504,79.67032220449892,62.19412691993846,1852689089,589711847,17481603
Hydrophis melanocephalus,Laticauda laticaudata,99.7241,82.946,81.73975629197938,59.84790584284356,1402639853,489420169,10703484
Hydrophis melanocephalus,Notechis scutatus,58.3357,86.551,95.01891681141454,60.22894476871778,1402639853,291359925,3718275
Hydrophis melanocephalus,Pseudonaja textilis,58.6409,85.2043,92.84979445103176,60.419425297693486,1402639853,214090365,2783779
Hydrophis melanocephalus,Aipysurus laevis,56.2196,87.395,95.3951486293861,73.22026306431614,1402639853,916380072,13690586
Hydrophis melanocephalus,Naja naja,54.6262,80.6285,76.9102469450975,59.52697627600823,1402639853,522050683,14798603
Laticauda laticaudata,Hydrophis melanocephalus,79.4358,78.3342,82.54120418710342,58.80106957130158,1558706106,524394830,11842036
Laticauda laticaudata,Notechis scutatus,51.2132,79.7107,93.61611981294088,59.659613763664375,1558706106,160758799,2198652
Laticauda laticaudata,Pseudonaja textilis,51.8237,79.2337,92.09632338859086,59.552527044851786,1558706106,129745006,1786622
Laticauda laticaudata,Aipysurus laevis,44.337,77.87,85.56266493585055,64.97410399924757,1558706106,395164880,7567441
Laticauda laticaudata,Naja naja,50.0672,76.043,78.35229375655958,60.936838260106555,1558706106,531102917,15633721
Naja naja,Laticauda laticaudata,77.4227,73.8769,76.97409002184922,56.06071489648631,1667692826,348377723,8170383
Naja naja,Hydrophis melanocephalus,67.2843,73.1725,73.4978309241698,51.09170940067391,1667692826,375913229,8794552
Naja naja,Notechis scutatus,44.3466,74.3503,90.83737498514458,56.089007208340504,1667692826,115432000,1642472
Naja naja,Pseudonaja textilis,44.6566,73.9857,89.25231519681212,55.988675895235595,1667692826,97424663,1407528
Naja naja,Aipysurus laevis,37.6955,72.3326,78.89246564475783,58.121674920917165,1667692826,265304497,5212802
Notechis scutatus,Laticauda laticaudata,90.1905,83.6907,83.5849555524949,68.33042887544617,1665525958,709582040,15312979
Notechis scutatus,Hydrophis melanocephalus,88.8977,87.1451,92.55862741184197,74.71075005838213,1665525958,931738150,17328852
Notechis scutatus,Pseudonaja textilis,53.4598,87.3158,95.53968476855357,68.02554658637678,1665525958,486976070,6327639
Notechis scutatus,Aipysurus laevis,49.2266,86.4445,93.36027899673329,77.52160100863289,1665525958,853353719,13967823
Notechis scutatus,Naja naja,49.2382,78.9298,80.61991033146649,64.73995306064839,1665525958,673710643,18710630
Pseudonaja textilis,Laticauda laticaudata,93.4131,86.131,83.09705414400132,66.7266726157043,1590035073,597962403,13137110
Pseudonaja textilis,Hydrophis melanocephalus,87.6654,88.515,87.86442278282097,69.44896479572647,1590035073,791933023,15958358
Pseudonaja textilis,Notechis scutatus,55.383,90.4538,96.75764319242491,66.50028199249921,1590035073,410704767,5230874
Pseudonaja textilis,Aipysurus laevis,48.6422,87.7872,89.34533485191383,72.95923526133427,1590035073,677994807,11822402
Pseudonaja textilis,Naja naja,50.706,81.0556,79.96718309715403,63.47261379892139,1590035073,609689091,17356940
